dataset,cond,metric,method,mean,sd,vs_BTYD_p,n_seeds
CDNow,x>0,cov95,QuantileGBM,0.9461455900265148,0.017935051634549087,0.0009815397525216685,15
CDNow,x>0,nMAE,BTYD,0.8094225382594927,0.035456571851786835,,15
CDNow,x>0,nMAE,PoissonGBM,0.943984987542581,0.07084171479150823,6.103515625e-05,15
CDNow,x>0,nMAE,HurdleGBM,0.9224473957647528,0.0630216187546737,6.103515625e-05,15
CDNow,x>0,nMAE,QuantileGBM,0.9574327716692039,0.0320186868148406,6.103515625e-05,15
CDNow,x>0,pit_ks,BTYD,0.08713364129255304,0.02881041793022062,,15
CDNow,x>0,pit_ks,PoissonGBM,0.09987105878931922,0.02346537674992195,0.33026123046875,15
CDNow,x>0,pit_ks,HurdleGBM,0.08447326745499707,0.02227875483105451,0.76153564453125,15
CDNow,x>0,pit_ks,QuantileGBM,0.1383828703329261,0.027421689131848465,6.103515625e-05,15
Dunnhumby,all,CRPS,BTYD,6.949693480195817,0.16353173035824575,,15
Dunnhumby,all,CRPS,PoissonGBM,7.350985630841121,0.20782285009340723,6.103515625e-05,15
Dunnhumby,all,CRPS,HurdleGBM,7.359768484646194,0.2041056555343243,6.103515625e-05,15
Dunnhumby,all,CRPS,QuantileGBM,6.534665095683133,0.17582050235336982,6.103515625e-05,15
Dunnhumby,all,cov50,BTYD,0.37303070761014695,0.009886023705067673,,15
Dunnhumby,all,cov50,PoissonGBM,0.2766355140186916,0.013257347489779876,0.0006483852534615971,15
Dunnhumby,all,cov50,HurdleGBM,0.28384512683578106,0.014719155821897029,0.0006533107814151377,15
Dunnhumby,all,cov50,QuantileGBM,0.4936359590565198,0.016640912581264034,6.103515625e-05,15
Dunnhumby,all,cov95,BTYD,0.793413440142412,0.014106666243782767,,15
Dunnhumby,all,cov95,PoissonGBM,0.6346239430351581,0.015119126879345805,0.0006483852534615971,15
Dunnhumby,all,cov95,HurdleGBM,0.6560747663551402,0.011571228057295904,0.0006500242387180628,15
Dunnhumby,all,cov95,QuantileGBM,0.8878504672897197,0.012432644278262269,0.0006516660806139112,15
Dunnhumby,all,nMAE,BTYD,0.3526659602854498,0.01253262137186372,,15
Dunnhumby,all,nMAE,PoissonGBM,0.3608540100512905,0.01200852657423655,0.00042724609375,15
Dunnhumby,all,nMAE,HurdleGBM,0.3623784884193045,0.01384699864811662,0.00030517578125,15
Dunnhumby,all,nMAE,QuantileGBM,0.3494530910701639,0.012239608526123588,0.0946044921875,15
Dunnhumby,all,pit_ks,BTYD,0.16867196227244868,0.011940638318794296,,15
Dunnhumby,all,pit_ks,PoissonGBM,0.2268274920545002,0.012785455223452565,6.103515625e-05,15
Dunnhumby,all,pit_ks,HurdleGBM,0.21165509323727683,0.012459115981697097,6.103515625e-05,15
Dunnhumby,all,pit_ks,QuantileGBM,0.05768287018353555,0.008127257079729798,6.103515625e-05,15
Dunnhumby,x>0,CRPS,BTYD,6.980490552623186,0.17199512954314558,,15
Dunnhumby,x>0,CRPS,PoissonGBM,7.389085428132602,0.21190230917978806,6.103515625e-05,15
Dunnhumby,x>0,CRPS,HurdleGBM,7.40352310896463,0.21022308820306568,6.103515625e-05,15
Dunnhumby,x>0,CRPS,QuantileGBM,6.5706241966815355,0.18346669413828806,6.103515625e-05,15
Dunnhumby,x>0,cov50,BTYD,0.3729870418456534,0.010132419403082975,,15
Dunnhumby,x>0,cov50,PoissonGBM,0.27781835277257527,0.012784566269247764,6.103515625e-05,15
Dunnhumby,x>0,cov50,HurdleGBM,0.2814153616988782,0.014870658508352433,6.103515625e-05,15
Dunnhumby,x>0,cov50,QuantileGBM,0.4928607822365268,0.016105821869451916,6.103515625e-05,15
Dunnhumby,x>0,cov95,BTYD,0.7954089542040053,0.013925758852376199,,15
Dunnhumby,x>0,cov95,PoissonGBM,0.63601918827593,0.015197851845932878,6.103515625e-05,15
Dunnhumby,x>0,cov95,HurdleGBM,0.654418172038586,0.011524816374101826,6.103515625e-05,15
Dunnhumby,x>0,cov95,QuantileGBM,0.8874238626973001,0.012748311729401718,6.103515625e-05,15
Dunnhumby,x>0,nMAE,BTYD,0.3508861516730558,0.012356526195225807,,15
Dunnhumby,x>0,nMAE,PoissonGBM,0.35905005627007847,0.01199088030138287,0.00042724609375,15
Dunnhumby,x>0,nMAE,HurdleGBM,0.3605034625336857,0.013957774206167036,0.00030517578125,15
Dunnhumby,x>0,nMAE,QuantileGBM,0.3477758796010402,0.012277713577497207,0.0946044921875,15
Dunnhumby,x>0,pit_ks,BTYD,0.1650202497094572,0.012685337750378237,,15
Dunnhumby,x>0,pit_ks,PoissonGBM,0.22559296086103106,0.01415820636399734,6.103515625e-05,15
Dunnhumby,x>0,pit_ks,HurdleGBM,0.21390344668558564,0.013902357596840118,6.103515625e-05,15
Dunnhumby,x>0,pit_ks,QuantileGBM,0.05762125723263316,0.008422684257380093,6.103515625e-05,15
Grocery,all,CRPS,BTYD,0.5216345239719796,0.04013492223895707,,15
Grocery,all,CRPS,PoissonGBM,0.5784362390829695,0.050847495217654276,6.103515625e-05,15
Grocery,all,CRPS,HurdleGBM,0.5844776319141193,0.05329077232958055,6.103515625e-05,15
Grocery,all,CRPS,QuantileGBM,0.590635556768559,0.05354082991782628,6.103515625e-05,15
Grocery,all,cov50,BTYD,0.8656477438136828,0.012457356745223606,,15
Grocery,all,cov50,PoissonGBM,0.8020378457059679,0.011920982247503504,0.0006516660806139112,15
Grocery,all,cov50,HurdleGBM,0.7924308588064047,0.014016297923163943,0.0006516660806139112,15
Grocery,all,cov50,QuantileGBM,0.8714701601164484,0.015413995924839387,0.2214816489446616,15
Grocery,all,cov95,BTYD,0.9682678311499272,0.005275578743530438,,15
Grocery,all,cov95,PoissonGBM,0.9315866084425036,0.010717663884260046,0.0006516660806139112,15
Grocery,all,cov95,HurdleGBM,0.9391557496360989,0.012264520978054437,0.0006451158437926242,15
Grocery,all,cov95,QuantileGBM,0.9572052401746725,0.0074638371268445185,0.0014590203259492514,15
Grocery,all,nMAE,BTYD,0.5684058827721606,0.07731568107674787,,15
Grocery,all,nMAE,PoissonGBM,0.6273418135401969,0.06707093025612242,6.103515625e-05,15
Grocery,all,nMAE,HurdleGBM,0.6361716782015922,0.06473711690532738,6.103515625e-05,15
Grocery,all,nMAE,QuantileGBM,0.7077723919250392,0.09161773031394577,6.103515625e-05,15
Grocery,all,pit_ks,BTYD,0.04533161991523229,0.014963984677958538,,15
Grocery,all,pit_ks,PoissonGBM,0.06335728519197993,0.01051676262415703,0.00042724609375,15
Grocery,all,pit_ks,HurdleGBM,0.06318751820248701,0.012759799903213138,0.0042724609375,15
Grocery,all,pit_ks,QuantileGBM,0.07678426166573207,0.02997566093866005,0.00335693359375,15
Grocery,x>0,CRPS,BTYD,0.7863801672977778,0.06748355051154674,,15
Grocery,x>0,CRPS,PoissonGBM,0.8727193523600792,0.08527738966064038,6.103515625e-05,15
Grocery,x>0,CRPS,HurdleGBM,0.8854490437177829,0.08720135348031134,6.103515625e-05,15
Grocery,x>0,CRPS,QuantileGBM,0.8947031357717301,0.07686395410526653,6.103515625e-05,15
Grocery,x>0,cov50,BTYD,0.8149129178678474,0.02315906590562179,,15
Grocery,x>0,cov50,PoissonGBM,0.7127383799035422,0.02267048698745155,6.103515625e-05,15
Grocery,x>0,cov50,HurdleGBM,0.6973177616682885,0.024663830568858503,6.103515625e-05,15
Grocery,x>0,cov50,QuantileGBM,0.8246558651062503,0.026117696746806147,0.22930908203125,15
Grocery,x>0,cov95,BTYD,0.964447354688581,0.009542047753284898,,15
Grocery,x>0,cov95,PoissonGBM,0.9082127555472559,0.017693089045820266,6.103515625e-05,15
Grocery,x>0,cov95,HurdleGBM,0.918232374583621,0.021482711982840706,6.103515625e-05,15
Grocery,x>0,cov95,QuantileGBM,0.9531116697429003,0.013165965758063083,0.002976637011170516,15
Grocery,x>0,nMAE,BTYD,0.5560082285989904,0.07892378598568404,,15
Grocery,x>0,nMAE,PoissonGBM,0.6161506281688428,0.06860703686300854,6.103515625e-05,15
Grocery,x>0,nMAE,HurdleGBM,0.6256841506088542,0.06640526988921545,6.103515625e-05,15
Grocery,x>0,nMAE,QuantileGBM,0.6994759730795381,0.09375589928601571,6.103515625e-05,15
Grocery,x>0,pit_ks,BTYD,0.06794421735440251,0.013246173068957172,,15
Grocery,x>0,pit_ks,PoissonGBM,0.08628981656646881,0.016786575244492116,0.0067138671875,15
Grocery,x>0,pit_ks,HurdleGBM,0.08730306346706532,0.02057636957325886,0.01507568359375,15
Grocery,x>0,pit_ks,QuantileGBM,0.11068552429100541,0.03937314967285628,0.00335693359375,15
Olist,all,CRPS,BTYD,0.0170240959365934,0.0009576264036059018,,15
Olist,all,CRPS,PoissonGBM,0.01703468198357673,0.0009251870287813646,0.5614013671875,15
Olist,all,CRPS,HurdleGBM,0.017007804186949898,0.0009464651812151429,0.0301513671875,15
Olist,all,CRPS,QuantileGBM,0.017200311132418745,0.0009712695465589312,6.103515625e-05,15
Olist,all,cov50,BTYD,0.9839799380439592,0.0010186582627025654,,15
Olist,all,cov50,PoissonGBM,0.9839897723361362,0.0010064803843117536,0.31731050786291415,15
Olist,all,cov50,HurdleGBM,0.9839799380439592,0.0010186582627025654,1.0,15
Olist,all,cov50,QuantileGBM,0.9839799380439592,0.0010186582627025654,1.0,15
Olist,all,cov95,BTYD,0.9850912130599401,0.0010789266698350921,,15
Olist,all,cov95,PoissonGBM,0.9863401681663964,0.001223823374885955,0.0006500242387180628,15
Olist,all,cov95,HurdleGBM,0.9860353051089149,0.0012185625137246714,0.00079744385109149,15
Olist,all,cov95,QuantileGBM,0.9843241382701481,0.0009253794971585837,0.0006321520160876122,15
Olist,all,nMAE,BTYD,1.0,0.0,,15
Olist,all,nMAE,PoissonGBM,1.0016983217767057,0.004661583893534991,0.17971249487899976,15
Olist,all,nMAE,HurdleGBM,1.0,0.0,1.0,15
Olist,all,nMAE,QuantileGBM,1.0,0.0,1.0,15
Olist,all,pit_ks,BTYD,0.01138427006443195,0.0031049842704812566,,15
Olist,all,pit_ks,PoissonGBM,0.008928253654604567,0.0026475662724881072,0.02154541015625,15
Olist,all,pit_ks,HurdleGBM,0.008896903758308674,0.0023964931242902773,0.00537109375,15
Olist,all,pit_ks,QuantileGBM,0.018877740873104357,0.0027932936336381013,6.103515625e-05,15
Olist,x>0,CRPS,BTYD,0.08316855051051487,0.027345598319179855,,15
Olist,x>0,CRPS,PoissonGBM,0.08692890554784038,0.027819434058478407,0.0008544921875,15
Olist,x>0,CRPS,HurdleGBM,0.0845274490035445,0.02820927768821718,0.01507568359375,15
Olist,x>0,CRPS,QuantileGBM,0.0858570353461293,0.029415205331320634,0.0008544921875,15
Olist,x>0,cov50,BTYD,0.9387930177919642,0.01644900847776863,,15
Olist,x>0,cov50,PoissonGBM,0.9395420814623762,0.016401842512019472,0.31731050786291415,15
Olist,x>0,cov50,HurdleGBM,0.9387930177919642,0.01644900847776863,1.0,15
