dataset,seed,method,cond,metric,value
Simulated,11,BTYD_raw,x>0,nMAE,0.6610619469026549
Simulated,11,BTYD_recal,all,CRPS,0.35857247999999997
Simulated,11,BTYD_recal,all,pit_ks,0.043139863672879586
Simulated,11,BTYD_recal,all,cov95,0.976
Simulated,11,BTYD_recal,all,cov50,0.904
Simulated,11,BTYD_recal,all,nMAE,0.6603119584055459
Simulated,11,BTYD_recal,x>0,CRPS,0.6414041296758105
Simulated,11,BTYD_recal,x>0,pit_ks,0.045471674972873855
Simulated,11,BTYD_recal,x>0,cov95,0.9750623441396509
Simulated,11,BTYD_recal,x>0,cov50,0.8453865336658354
Simulated,11,BTYD_recal,x>0,nMAE,0.6530973451327433
Simulated,12,BTYD_raw,all,CRPS,0.41450494791666664
Simulated,12,BTYD_raw,all,pit_ks,0.033324222883052534
Simulated,12,BTYD_raw,all,cov95,0.9893333333333333
Simulated,12,BTYD_raw,all,cov50,0.896
Simulated,12,BTYD_raw,all,nMAE,0.6406249999999999
Simulated,12,BTYD_raw,x>0,CRPS,0.7297719467089373
Simulated,12,BTYD_raw,x>0,pit_ks,0.053064687793814125
Simulated,12,BTYD_raw,x>0,cov95,0.9855072463768116
Simulated,12,BTYD_raw,x>0,cov50,0.8333333333333334
Simulated,12,BTYD_raw,x>0,nMAE,0.6357466063348417
Simulated,12,BTYD_recal,all,CRPS,0.41489836266666663
Simulated,12,BTYD_recal,all,pit_ks,0.03339841589308967
Simulated,12,BTYD_recal,all,cov95,0.9893333333333333
Simulated,12,BTYD_recal,all,cov50,0.8893333333333333
Simulated,12,BTYD_recal,all,nMAE,0.6428571428571428
Simulated,12,BTYD_recal,x>0,CRPS,0.7303693333333332
Simulated,12,BTYD_recal,x>0,pit_ks,0.05927333030272297
Simulated,12,BTYD_recal,x>0,cov95,0.9855072463768116
Simulated,12,BTYD_recal,x>0,cov50,0.821256038647343
Simulated,12,BTYD_recal,x>0,nMAE,0.6380090497737557
Simulated,13,BTYD_raw,all,CRPS,0.40517854166666667
Simulated,13,BTYD_raw,all,pit_ks,0.03807328599086782
Simulated,13,BTYD_raw,all,cov95,0.984
Simulated,13,BTYD_raw,all,cov50,0.904
Simulated,13,BTYD_raw,all,nMAE,0.5284605433376456
Simulated,13,BTYD_raw,x>0,CRPS,0.6884987229567308
Simulated,13,BTYD_raw,x>0,pit_ks,0.02957657295713323
Simulated,13,BTYD_raw,x>0,cov95,0.9879807692307693
Simulated,13,BTYD_raw,x>0,cov50,0.8581730769230769
Simulated,13,BTYD_raw,x>0,nMAE,0.5172185430463576
Simulated,13,BTYD_recal,all,CRPS,0.40809537066666673
Simulated,13,BTYD_recal,all,pit_ks,0.03891162021193334
Simulated,13,BTYD_recal,all,cov95,0.9906666666666667
Simulated,13,BTYD_recal,all,cov50,0.9026666666666666
Simulated,13,BTYD_recal,all,nMAE,0.5291073738680466
Simulated,13,BTYD_recal,x>0,CRPS,0.6936869615384615
Simulated,13,BTYD_recal,x>0,pit_ks,0.04410824773936939
Simulated,13,BTYD_recal,x>0,cov95,0.9927884615384616
Simulated,13,BTYD_recal,x>0,cov50,0.8557692307692307
Simulated,13,BTYD_recal,x>0,nMAE,0.5178807947019867
Simulated,14,BTYD_raw,all,CRPS,0.4021640104166667
Simulated,14,BTYD_raw,all,pit_ks,0.02108951724335878
Simulated,14,BTYD_raw,all,cov95,0.9853333333333333
Simulated,14,BTYD_raw,all,cov50,0.9186666666666666
Simulated,14,BTYD_raw,all,nMAE,0.531491002570694
Simulated,14,BTYD_raw,x>0,CRPS,0.7275895743534483
Simulated,14,BTYD_raw,x>0,pit_ks,0.038885384951815705
Simulated,14,BTYD_raw,x>0,cov95,0.9852216748768473
Simulated,14,BTYD_raw,x>0,cov50,0.8645320197044335
Simulated,14,BTYD_raw,x>0,nMAE,0.5278497409326426
Simulated,14,BTYD_recal,all,CRPS,0.40120711466666664
Simulated,14,BTYD_recal,all,pit_ks,0.02270279415906795
Simulated,14,BTYD_recal,all,cov95,0.9893333333333333
Simulated,14,BTYD_recal,all,cov50,0.9106666666666666
Simulated,14,BTYD_recal,all,nMAE,0.5302056555269923
Simulated,14,BTYD_recal,x>0,CRPS,0.7257229753694582
Simulated,14,BTYD_recal,x>0,pit_ks,0.0471778614564482
Simulated,14,BTYD_recal,x>0,cov95,0.9901477832512315
Simulated,14,BTYD_recal,x>0,cov50,0.8497536945812808
Simulated,14,BTYD_recal,x>0,nMAE,0.5265544041450778
CDNow,0,BTYD_raw,all,CRPS,0.36815302958015267
CDNow,0,BTYD_raw,all,pit_ks,0.05701384760556916
CDNow,0,BTYD_raw,all,cov95,0.9762510602205259
CDNow,0,BTYD_raw,all,cov50,0.8490245971162002
CDNow,0,BTYD_raw,all,nMAE,0.8234859675036927
CDNow,0,BTYD_raw,x>0,CRPS,0.732239930199795
CDNow,0,BTYD_raw,x>0,pit_ks,0.09262127961112843
CDNow,0,BTYD_raw,x>0,cov95,0.9651639344262295
CDNow,0,BTYD_raw,x>0,cov50,0.7520491803278688
CDNow,0,BTYD_raw,x>0,nMAE,0.7991596638655463
CDNow,0,BTYD_recal,all,CRPS,0.36723242748091606
CDNow,0,BTYD_recal,all,pit_ks,0.028284474321739472
CDNow,0,BTYD_recal,all,cov95,0.9804919423240034
CDNow,0,BTYD_recal,all,cov50,0.8566581849024597
CDNow,0,BTYD_recal,all,nMAE,0.8153618906942394
CDNow,0,BTYD_recal,x>0,CRPS,0.7291648606557377
CDNow,0,BTYD_recal,x>0,pit_ks,0.05900878618266331
CDNow,0,BTYD_recal,x>0,cov95,0.9692622950819673
CDNow,0,BTYD_recal,x>0,cov50,0.7704918032786885
CDNow,0,BTYD_recal,x>0,nMAE,0.7899159663865547
CDNow,1,BTYD_raw,all,CRPS,0.4164506136026293
CDNow,1,BTYD_raw,all,pit_ks,0.062051660711233025
CDNow,1,BTYD_raw,all,cov95,0.9592875318066157
CDNow,1,BTYD_raw,all,cov50,0.820186598812553
