k,rep,model,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred,k_hat,E_lambda_true,E_lambda_pnbd,E_lambda_ggg
1.0,6,PNBD,xcal_pos,381,0.027477076129586914,0.7297658761589714,0.8556430446194225,0.9658792650918635,1.7847769028871392,1.4763779527559056,1.0416224852780955,0.1173842867145649,0.12864446912423358,0.13232535246857222
1.0,6,GGG,all,800,0.01998084722929583,0.3648736871301776,0.9175,0.98375,0.8675,0.73125,1.0416224852780955,0.1173842867145649,0.12864446912423358,0.13232535246857222
1.0,6,GGG,xcal_pos,381,0.03307104534698979,0.7300806814828619,0.8503937007874016,0.973753280839895,1.7847769028871392,1.5354330708661417,1.0416224852780955,0.1173842867145649,0.12864446912423358,0.13232535246857222
1.0,7,PNBD,all,800,0.03763017370328514,0.13092636834319527,0.96125,0.98125,0.21875,0.135625,1.080137204451174,0.06424498749217716,0.052275391937838596,0.056133643877450054
1.0,7,PNBD,xcal_pos,215,0.03432168665625657,0.42251678822072375,0.9069767441860465,0.9813953488372092,0.7488372093023256,0.5046511627906977,1.080137204451174,0.06424498749217716,0.052275391937838596,0.056133643877450054
1.0,7,GGG,all,800,0.04073391310474106,0.13303840606508877,0.96125,0.98125,0.21875,0.139375,1.080137204451174,0.06424498749217716,0.052275391937838596,0.056133643877450054
1.0,7,GGG,xcal_pos,215,0.03226042472002996,0.430532269161965,0.9069767441860465,0.9813953488372092,0.7488372093023256,0.5186046511627908,1.080137204451174,0.06424498749217716,0.052275391937838596,0.056133643877450054
1.0,8,PNBD,all,800,0.027790395785486033,0.4523969859467455,0.8575,0.985,1.005,0.851875,0.9621995381998928,0.08345054981092376,0.085394147238882,0.0769246806570799
1.0,8,PNBD,xcal_pos,347,0.03912132652223271,0.9526706085977866,0.7492795389048992,0.9769452449567724,2.2219020172910664,1.9639769452449567,0.9621995381998928,0.08345054981092376,0.085394147238882,0.0769246806570799
1.0,8,GGG,all,800,0.035813419158101656,0.4557417529585798,0.8575,0.9775,1.005,0.7475,0.9621995381998928,0.08345054981092376,0.085394147238882,0.0769246806570799
1.0,8,GGG,xcal_pos,347,0.08666543110380265,0.960315212386815,0.7492795389048992,0.962536023054755,2.2219020172910664,1.723342939481268,0.9621995381998928,0.08345054981092376,0.085394147238882,0.0769246806570799
1.0,9,PNBD,all,800,0.040592371030867436,0.35101719674556214,0.855,0.9825,0.5875,0.30625,0.959231094727277,0.06130009241068786,0.060489565658243684,0.05992027870255349
1.0,9,PNBD,xcal_pos,391,0.05662534637152494,0.6232155071959321,0.7800511508951407,0.9872122762148338,1.10230179028133,0.6265984654731458,0.959231094727277,0.06130009241068786,0.060489565658243684,0.05992027870255349
1.0,9,GGG,all,800,0.03381834470973599,0.3480585059171598,0.86,0.985,0.5875,0.331875,0.959231094727277,0.06130009241068786,0.060489565658243684,0.05992027870255349
1.0,9,GGG,xcal_pos,391,0.04782922653704946,0.6176290500764238,0.7902813299232737,0.9846547314578005,1.10230179028133,0.6790281329923273,0.959231094727277,0.06130009241068786,0.060489565658243684,0.05992027870255349
1.0,10,PNBD,all,800,0.024618972268822148,0.3813703032544379,0.875,0.98125,0.81875,0.588125,1.005924849617982,0.06899845659231446,0.07932773599425787,0.07229346421742036
1.0,10,PNBD,xcal_pos,368,0.050941703252473935,0.7579332952791356,0.782608695652174,0.9755434782608695,1.7065217391304348,1.278532608695652,1.005924849617982,0.06899845659231446,0.07932773599425787,0.07229346421742036
1.0,10,GGG,all,800,0.017457520878121885,0.3799938609467455,0.8725,0.985,0.81875,0.593125,1.005924849617982,0.06899845659231446,0.07932773599425787,0.07229346421742036
1.0,10,GGG,xcal_pos,368,0.04198204183877191,0.7554318079495755,0.7771739130434783,0.9809782608695652,1.7065217391304348,1.2894021739130435,1.005924849617982,0.06899845659231446,0.07932773599425787,0.07229346421742036
1.0,11,PNBD,all,800,0.029505730242565753,0.2683666420118343,0.92625,0.98125,0.55375,0.365,0.9407472659396781,0.10682496807008733,0.11855729521814634,0.11395504183184996
1.0,11,PNBD,xcal_pos,369,0.04769021814069224,0.5472475585702603,0.8699186991869918,0.986449864498645,1.165311653116531,0.7913279132791328,0.9407472659396781,0.10682496807008733,0.11855729521814634,0.11395504183184996
1.0,11,GGG,all,800,0.029467726044988707,0.2651471893491124,0.92125,0.98625,0.55375,0.36,0.9407472659396781,0.10682496807008733,0.11855729521814634,0.11395504183184996
1.0,11,GGG,xcal_pos,369,0.04562333122418999,0.5404638716505509,0.8590785907859079,0.991869918699187,1.165311653116531,0.7804878048780488,0.9407472659396781,0.10682496807008733,0.11855729521814634,0.11395504183184996
