dataset,cond,metric,raw_mean,recal_mean,recal_minus_raw,wilcoxon_p,n_seeds
Simulated,x>0,cov50,0.8377273344261897,0.8319595991235033,-0.00576773530268652,0.034170472692229406,15
Simulated,x>0,cov95,0.9809521772664529,0.9812337618203341,0.0002815845538811127,0.8589549227374824,15
Simulated,x>0,nMAE,0.6014258259947474,0.6021054787366545,0.0006796527419072736,0.6377666989276032,15
Simulated,x>0,pit_ks,0.042371462803647605,0.04639277654703349,0.004021313743385895,0.04791259765625,15
Ta-Feng,all,CRPS,0.9475147559508085,0.940400343964075,-0.007114411986733563,6.103515625e-05,15
Ta-Feng,all,cov50,0.7516891197792843,0.7620204866308592,0.010331366851574675,0.012451171875,15
Ta-Feng,all,cov95,0.9744416072319569,0.9778345220275307,0.003392914795573961,0.02483872737062677,15
Ta-Feng,all,nMAE,0.6921619595710076,0.6863808384412342,-0.0057811211297734925,0.00018310546875,15
Ta-Feng,all,pit_ks,0.07246227731536115,0.027253141812484855,-0.04520913550287631,6.103515625e-05,15
Ta-Feng,x>0,CRPS,1.2783028558865206,1.2640243937255755,-0.01427846216094492,6.103515625e-05,15
Ta-Feng,x>0,cov50,0.7011217659809437,0.6978165539496685,-0.0033052120312751397,0.48870849609375,15
Ta-Feng,x>0,cov95,0.970744663388046,0.9745211445502532,0.00377648116220722,0.0301513671875,15
Ta-Feng,x>0,nMAE,0.5992980698490695,0.591380169446823,-0.007917900402246417,6.103515625e-05,15
Ta-Feng,x>0,pit_ks,0.08112205568964177,0.03562930506480152,-0.045492750624840254,6.103515625e-05,15
