dataset,N,seed,method,cond,metric,value
Simulated,1500,5,HurdleGBM,all,CRPS,0.45421001388888893
Simulated,1500,5,HurdleGBM,all,pit_ks,0.026709862163859954
Simulated,1500,5,HurdleGBM,all,cov95,0.9711111111111111
Simulated,1500,5,HurdleGBM,all,cov50,0.8955555555555555
Simulated,1500,5,HurdleGBM,all,nMAE,0.7037974683544304
Simulated,1500,5,HurdleGBM,x>0,CRPS,0.8394828322784811
Simulated,1500,5,HurdleGBM,x>0,pit_ks,0.08395279967119906
Simulated,1500,5,HurdleGBM,x>0,cov95,0.9620253164556962
Simulated,1500,5,HurdleGBM,x>0,cov50,0.8227848101265823
Simulated,1500,5,HurdleGBM,x>0,nMAE,0.7
Simulated,1500,5,QuantileGBM,all,CRPS,0.45938869444444436
Simulated,1500,5,QuantileGBM,all,pit_ks,0.05767076040347452
Simulated,1500,5,QuantileGBM,all,cov95,0.9688888888888889
Simulated,1500,5,QuantileGBM,all,cov50,0.94
Simulated,1500,5,QuantileGBM,all,nMAE,0.6367088607594936
Simulated,1500,5,QuantileGBM,x>0,CRPS,0.8508566983122362
Simulated,1500,5,QuantileGBM,x>0,pit_ks,0.07777698103451802
Simulated,1500,5,QuantileGBM,x>0,cov95,0.9578059071729957
Simulated,1500,5,QuantileGBM,x>0,cov50,0.9071729957805907
Simulated,1500,5,QuantileGBM,x>0,nMAE,0.632051282051282
Simulated,1500,6,BTYD,all,CRPS,0.36554531249999994
Simulated,1500,6,BTYD,all,pit_ks,0.0378660158832117
Simulated,1500,6,BTYD,all,cov95,0.9888888888888889
Simulated,1500,6,BTYD,all,cov50,0.9066666666666666
Simulated,1500,6,BTYD,all,nMAE,0.5235955056179775
Simulated,1500,6,BTYD,x>0,CRPS,0.6259226562500001
Simulated,1500,6,BTYD,x>0,pit_ks,0.05030587161979849
Simulated,1500,6,BTYD,x>0,cov95,0.992
Simulated,1500,6,BTYD,x>0,cov50,0.852
Simulated,1500,6,BTYD,x>0,nMAE,0.5148741418764302
Simulated,1500,6,PoissonGBM,all,CRPS,0.45121780555555563
Simulated,1500,6,PoissonGBM,all,pit_ks,0.05596295812365601
Simulated,1500,6,PoissonGBM,all,cov95,0.9511111111111111
Simulated,1500,6,PoissonGBM,all,cov50,0.8577777777777778
Simulated,1500,6,PoissonGBM,all,nMAE,0.6056179775280899
Simulated,1500,6,PoissonGBM,x>0,CRPS,0.7791991
Simulated,1500,6,PoissonGBM,x>0,pit_ks,0.058309399862072175
Simulated,1500,6,PoissonGBM,x>0,cov95,0.928
Simulated,1500,6,PoissonGBM,x>0,cov50,0.764
Simulated,1500,6,PoissonGBM,x>0,nMAE,0.5983981693363845
Simulated,1500,6,HurdleGBM,all,CRPS,0.4583912916666667
Simulated,1500,6,HurdleGBM,all,pit_ks,0.04612209026530961
Simulated,1500,6,HurdleGBM,all,cov95,0.9644444444444444
Simulated,1500,6,HurdleGBM,all,cov50,0.86
Simulated,1500,6,HurdleGBM,all,nMAE,0.646067415730337
Simulated,1500,6,HurdleGBM,x>0,CRPS,0.792640175
Simulated,1500,6,HurdleGBM,x>0,pit_ks,0.04132841502334039
Simulated,1500,6,HurdleGBM,x>0,cov95,0.952
Simulated,1500,6,HurdleGBM,x>0,cov50,0.768
Simulated,1500,6,HurdleGBM,x>0,nMAE,0.639588100686499
Simulated,1500,6,QuantileGBM,all,CRPS,0.5086259305555555
Simulated,1500,6,QuantileGBM,all,pit_ks,0.03432581860728873
Simulated,1500,6,QuantileGBM,all,cov95,0.98
Simulated,1500,6,QuantileGBM,all,cov50,0.9155555555555556
Simulated,1500,6,QuantileGBM,all,nMAE,0.9202247191011236
Simulated,1500,6,QuantileGBM,x>0,CRPS,0.8840717749999999
Simulated,1500,6,QuantileGBM,x>0,pit_ks,0.08603726075028889
Simulated,1500,6,QuantileGBM,x>0,cov95,0.98
Simulated,1500,6,QuantileGBM,x>0,cov50,0.868
Simulated,1500,6,QuantileGBM,x>0,nMAE,0.9187643020594967
Simulated,1500,7,BTYD,all,CRPS,0.42272569444444447
Simulated,1500,7,BTYD,all,pit_ks,0.04027294608438764
Simulated,1500,7,BTYD,all,cov95,0.9688888888888889
Simulated,1500,7,BTYD,all,cov50,0.9
Simulated,1500,7,BTYD,all,nMAE,0.5779510022271714
Simulated,1500,7,BTYD,x>0,CRPS,0.7158854675292969
Simulated,1500,7,BTYD,x>0,pit_ks,0.05155875619387551
Simulated,1500,7,BTYD,x>0,cov95,0.9609375
Simulated,1500,7,BTYD,x>0,cov50,0.84375
Simulated,1500,7,BTYD,x>0,nMAE,0.5712669683257918
Simulated,1500,7,PoissonGBM,all,CRPS,0.5086487222222222
Simulated,1500,7,PoissonGBM,all,pit_ks,0.06479038276518057
