dataset,seed,method,metric,value
Olist,9,ML,brier,0.016249783168884972
Olist,9,ML,ece,0.0011380225948926857
Olist,10,BTYD,brier,0.015816824015341496
Olist,10,BTYD,ece,0.006459654816344594
Olist,10,ML,brier,0.015767717517624798
Olist,10,ML,ece,0.00033484169882971616
Olist,11,BTYD,brier,0.01559283817672223
Olist,11,BTYD,ece,0.0063608201799675475
Olist,11,ML,brier,0.015499762035118523
Olist,11,ML,ece,0.0002201853245574481
Olist,12,BTYD,brier,0.015305531789349463
Olist,12,BTYD,ece,0.005089246201504647
Olist,12,ML,brier,0.01523737815476972
Olist,12,ML,ece,0.0006605930542361886
Olist,13,BTYD,brier,0.013809145891724443
Olist,13,BTYD,ece,0.0033485764862074044
Olist,13,ML,brier,0.013804933574019379
Olist,13,ML,ece,0.0028140696758873363
Olist,14,BTYD,brier,0.016036030387962828
Olist,14,BTYD,ece,0.007009883463637704
Olist,14,ML,brier,0.015966562226760368
Olist,14,ML,ece,0.0008237503098872216
Dunnhumby,0,BTYD,brier,0.05202643524699599
Dunnhumby,0,BTYD,ece,0.05651535380507342
Dunnhumby,0,ML,brier,0.02256260681094996
Dunnhumby,0,ML,ece,0.013523849020240024
Dunnhumby,1,BTYD,brier,0.05353494659546062
Dunnhumby,1,BTYD,ece,0.04326435246995982
Dunnhumby,1,ML,brier,0.04257259159921442
Dunnhumby,1,ML,ece,0.03557293357930032
Dunnhumby,2,BTYD,brier,0.056083611481975965
Dunnhumby,2,BTYD,ece,0.048671562082777044
Dunnhumby,2,ML,brier,0.033455187305123285
Dunnhumby,2,ML,ece,0.02502655788507759
Dunnhumby,3,BTYD,brier,0.06720804405874499
Dunnhumby,3,BTYD,ece,0.055694259012016065
Dunnhumby,3,ML,brier,0.040862838574131116
Dunnhumby,3,ML,ece,0.03251154138658523
Dunnhumby,4,BTYD,brier,0.05882556742323097
Dunnhumby,4,BTYD,ece,0.06743658210947921
Dunnhumby,4,ML,brier,0.030277965999403477
Dunnhumby,4,ML,ece,0.027365764125647174
Dunnhumby,5,BTYD,brier,0.06209402536715621
Dunnhumby,5,BTYD,ece,0.056081441922563355
Dunnhumby,5,ML,brier,0.04231913290410727
Dunnhumby,5,ML,ece,0.03946969611886798
Dunnhumby,6,BTYD,brier,0.051457176234979966
Dunnhumby,6,BTYD,ece,0.05031375166889179
Dunnhumby,6,ML,brier,0.02681868978159253
Dunnhumby,6,ML,ece,0.021171306758795763
Dunnhumby,7,BTYD,brier,0.06169472630173565
Dunnhumby,7,BTYD,ece,0.05166889185580766
Dunnhumby,7,ML,brier,0.03390552591203262
Dunnhumby,7,ML,ece,0.02401578624285401
Dunnhumby,8,BTYD,brier,0.05260734312416555
Dunnhumby,8,BTYD,ece,0.04076101468624835
Dunnhumby,8,ML,brier,0.0326899622840949
Dunnhumby,8,ML,ece,0.02623087269873315
Dunnhumby,9,BTYD,brier,0.04899495994659545
Dunnhumby,9,BTYD,ece,0.053157543391188264
Dunnhumby,9,ML,brier,0.027371410572054007
Dunnhumby,9,ML,ece,0.02334627412454967
Dunnhumby,10,BTYD,brier,0.04672510013351135
Dunnhumby,10,BTYD,ece,0.04987983978638182
Dunnhumby,10,ML,brier,0.032205175168353375
Dunnhumby,10,ML,ece,0.025436006757035744
Dunnhumby,11,BTYD,brier,0.05579372496662217
Dunnhumby,11,BTYD,ece,0.05120160213618158
Dunnhumby,11,ML,brier,0.03588115159862301
Dunnhumby,11,ML,ece,0.02809335941848915
Dunnhumby,12,BTYD,brier,0.05100811081441923
Dunnhumby,12,BTYD,ece,0.048004005340453876
Dunnhumby,12,ML,brier,0.02923936202993214
Dunnhumby,12,ML,ece,0.018901470149573652
Dunnhumby,13,BTYD,brier,0.06077843791722296
Dunnhumby,13,BTYD,ece,0.05379172229639514
Dunnhumby,13,ML,brier,0.0344226671122744
Dunnhumby,13,ML,ece,0.026698138361426985
Dunnhumby,14,BTYD,brier,0.062132676902536724
Dunnhumby,14,BTYD,ece,0.050874499332443285
Dunnhumby,14,ML,brier,0.039752310770513034
Dunnhumby,14,ML,ece,0.030154150283894773
Ta-Feng,0,BTYD,brier,0.2135275755796889
Ta-Feng,0,BTYD,ece,0.09059142941003814
Ta-Feng,0,ML,brier,0.19824481181567702
Ta-Feng,0,ML,ece,0.007462419867365988
Ta-Feng,1,BTYD,brier,0.2107039771059583
Ta-Feng,1,BTYD,ece,0.07421631934253003
Ta-Feng,1,ML,brier,0.1981386780586792
Ta-Feng,1,ML,ece,0.01399479604804078
Ta-Feng,2,BTYD,brier,0.2129656222483123
Ta-Feng,2,BTYD,ece,0.08038743762841209
Ta-Feng,2,ML,brier,0.20015796440070605
Ta-Feng,2,ML,ece,0.013600635249753535
Ta-Feng,3,BTYD,brier,0.21262594291165252
Ta-Feng,3,BTYD,ece,0.0765079248605812
Ta-Feng,3,ML,brier,0.20128681222897774
Ta-Feng,3,ML,ece,0.010726194858049895
