dataset,seed,method,cond,metric,value
OnlineRetailII,10,ZILN,x>0,CRPS,833.4559304801877
OnlineRetailII,10,ZILN,x>0,pit_ks,0.05380782918149468
OnlineRetailII,10,ZILN,x>0,cov95,0.966785290628707
OnlineRetailII,10,ZILN,x>0,nMAE,1.08624417353548
OnlineRetailII,11,BTYD+GG,all,CRPS,345.285897802058
OnlineRetailII,11,BTYD+GG,all,pit_ks,0.19796875000000003
OnlineRetailII,11,BTYD+GG,all,cov95,0.98671875
OnlineRetailII,11,BTYD+GG,all,nMAE,0.6779245501781275
OnlineRetailII,11,BTYD+GG,x>0,CRPS,441.5726179452442
OnlineRetailII,11,BTYD+GG,x>0,pit_ks,0.21617647058823536
OnlineRetailII,11,BTYD+GG,x>0,cov95,0.9823529411764705
OnlineRetailII,11,BTYD+GG,x>0,nMAE,0.6270323621642098
OnlineRetailII,11,ZILN,all,CRPS,362.9654216936472
OnlineRetailII,11,ZILN,all,pit_ks,0.03874999999999995
OnlineRetailII,11,ZILN,all,cov95,0.98046875
OnlineRetailII,11,ZILN,all,nMAE,0.7023635339837037
OnlineRetailII,11,ZILN,x>0,CRPS,490.6025174041569
OnlineRetailII,11,ZILN,x>0,pit_ks,0.04812960223605456
OnlineRetailII,11,ZILN,x>0,cov95,0.9847058823529412
OnlineRetailII,11,ZILN,x>0,nMAE,0.682623301669586
OnlineRetailII,12,BTYD+GG,all,CRPS,373.19729276615
OnlineRetailII,12,BTYD+GG,all,pit_ks,0.22265625
OnlineRetailII,12,BTYD+GG,all,cov95,0.98359375
OnlineRetailII,12,BTYD+GG,all,nMAE,0.7491194585228151
OnlineRetailII,12,BTYD+GG,x>0,CRPS,485.84081227413606
OnlineRetailII,12,BTYD+GG,x>0,pit_ks,0.2193651753325272
OnlineRetailII,12,BTYD+GG,x>0,cov95,0.9770253929866989
OnlineRetailII,12,BTYD+GG,x>0,nMAE,0.694526916036574
OnlineRetailII,12,ZILN,all,CRPS,436.546878022092
OnlineRetailII,12,ZILN,all,pit_ks,0.028125000000000067
OnlineRetailII,12,ZILN,all,cov95,0.97578125
OnlineRetailII,12,ZILN,all,nMAE,0.8518093834632325
OnlineRetailII,12,ZILN,x>0,CRPS,613.2453276120417
OnlineRetailII,12,ZILN,x>0,pit_ks,0.024074801002204882
OnlineRetailII,12,ZILN,x>0,cov95,0.9770253929866989
OnlineRetailII,12,ZILN,x>0,nMAE,0.8416855193739295
OnlineRetailII,13,BTYD+GG,all,CRPS,405.649425880605
OnlineRetailII,13,BTYD+GG,all,pit_ks,0.21843750000000006
OnlineRetailII,13,BTYD+GG,all,cov95,0.97421875
