k,rep,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred
1.5,13,all,800,0.030882130834160026,0.40559891357421873,0.89,0.98875,0.9125,0.705625
1.5,13,xcal_pos,492,0.055524083199785745,0.616295791253811,0.8495934959349594,0.991869918699187,1.4390243902439024,1.1473577235772359
1.5,14,all,800,0.03696743835321037,0.45346121826171876,0.895,0.995,1.5025,1.386875
1.5,14,xcal_pos,374,0.06085775983321651,0.935261165190508,0.8048128342245989,0.9946524064171123,3.179144385026738,2.966577540106952
2.0,0,all,800,0.03501404528715224,0.5352264892578126,0.87625,0.99625,1.82125,1.69125
2.0,0,xcal_pos,430,0.05423250862090395,0.9463594658430232,0.813953488372093,1.0,3.3372093023255816,3.146511627906977
2.0,1,all,800,0.042906684688581054,0.5580934204101563,0.86375,0.995,1.77,1.531875
2.0,1,xcal_pos,498,0.0507760988439121,0.8491651371109438,0.8172690763052208,0.9939759036144579,2.7951807228915664,2.460843373493976
2.0,2,all,800,0.01715408154583742,0.2119399658203125,0.965,0.99875,0.545,0.543125
2.0,2,xcal_pos,314,0.05591544377623159,0.5366306105692675,0.9140127388535032,1.0,1.3853503184713376,1.3837579617834395
2.0,3,all,800,0.023366111367787767,0.37866660156250004,0.8975,0.9925,1.365,1.18125
2.0,3,xcal_pos,326,0.05464809545288546,0.8521242630847393,0.8220858895705522,0.99079754601227,3.2699386503067487,2.8987730061349692
2.0,4,all,800,0.03614987392164337,0.44155836181640623,0.89,0.99375,1.4375,1.33375
2.0,4,xcal_pos,414,0.05635888112346721,0.8178660929951691,0.8188405797101449,0.9927536231884058,2.741545893719807,2.577294685990338
2.0,5,all,800,0.03747579421528757,0.5611861083984375,0.87625,0.99125,2.10375,1.905625
2.0,5,xcal_pos,439,0.07718559316271373,0.9662571851865035,0.8246013667425968,0.9931662870159453,3.774487471526196,3.4726651480637813
2.0,6,all,800,0.04799553024159697,0.49613881835937507,0.89625,0.99625,1.6425,1.67
2.0,6,xcal_pos,453,0.03226216064114962,0.8645424599889625,0.8278145695364238,0.9933774834437086,2.88962472406181,2.9492273730684326
2.0,7,all,800,0.030375970973702482,0.5918754394531249,0.88125,0.995,2.06,1.84625
2.0,7,xcal_pos,484,0.04519210088164516,0.9537535309594525,0.8264462809917356,0.993801652892562,3.3801652892561984,3.0516528925619837
2.0,8,all,800,0.011779376616302462,0.14307215576171875,0.975,0.99625,0.4725,0.42375
2.0,8,xcal_pos,327,0.04651938159444857,0.3409731281058868,0.9480122324159022,1.0,1.146788990825688,1.036697247706422
2.0,9,all,800,0.03741058586877899,0.16596722412109377,0.95125,0.9925,0.3725,0.258125
2.0,9,xcal_pos,254,0.055600423087388606,0.5020792707308072,0.8622047244094488,0.9921259842519685,1.1535433070866141,0.812992125984252
2.0,10,all,800,0.03500928096532352,0.25849729003906247,0.935,0.98875,0.61625,0.513125
2.0,10,xcal_pos,310,0.0627292806438341,0.6162141822076612,0.8709677419354839,0.9967741935483871,1.538709677419355,1.3241935483870968
2.0,11,all,800,0.01869283123545118,0.3067925048828125,0.91875,0.99375,0.7975,0.67875
2.0,11,xcal_pos,422,0.02939469761387742,0.5627772558130925,0.8601895734597157,0.9976303317535545,1.4928909952606635,1.2867298578199051
2.0,12,all,800,0.02776397803760533,0.3226629760742188,0.8925,0.9925,0.7,0.461875
2.0,12,xcal_pos,436,0.044371948720388354,0.5599236892560207,0.8302752293577982,0.9908256880733946,1.2522935779816513,0.8474770642201835
2.0,13,all,800,0.028736756265806518,0.5286485961914061,0.845,0.99,1.4525,1.1275
2.0,13,xcal_pos,453,0.05270354400795102,0.8823362048151213,0.7770419426048565,0.9845474613686535,2.512141280353201,1.9911699779249448
2.0,14,all,800,0.045686275739263094,0.5867301513671874,0.89875,0.995,2.31875,2.301875
2.0,14,xcal_pos,466,0.045385142009311874,0.997753088955204,0.8347639484978541,0.9935622317596566,3.9721030042918457,3.9517167381974247
3.0,0,all,800,0.0258602818116751,0.2552308349609375,0.94,0.99375,0.73375,0.57125
3.0,0,xcal_pos,369,0.047444880679487156,0.5205054835704607,0.8861788617886179,1.0,1.5582655826558265,1.2384823848238482
3.0,1,all,800,0.047808439719015605,0.5758111450195311,0.9225,0.99375,2.17625,2.308125
3.0,1,xcal_pos,352,0.07887568673667955,1.2832193548029118,0.8494318181818182,0.9886363636363636,4.920454545454546,5.245738636363637
3.0,2,all,800,0.03515471707912854,0.18637064208984375,0.9375,0.9975,0.41375,0.31375
3.0,2,xcal_pos,271,0.053074516733842,0.4990894545664207,0.8634686346863468,0.996309963099631,1.169741697416974,0.9261992619926199
3.0,3,all,800,0.027453213773356855,0.19436636962890624,0.935,0.995,0.58,0.404375
3.0,3,xcal_pos,223,0.09875603123025906,0.6641849425448432,0.7982062780269058,0.9910313901345291,2.0493273542600896,1.4506726457399104
3.0,4,all,800,0.029090993653651753,0.5407694458007813,0.92125,0.98875,1.97,1.98125
3.0,4,xcal_pos,334,0.08603702115586587,1.2342465264782934,0.8592814371257484,0.9970059880239521,4.655688622754491,4.745508982035928
3.0,5,all,800,0.038371691844552025,0.24899508056640626,0.92,1.0,0.68,0.555625
3.0,5,xcal_pos,272,0.04179785248655343,0.671051851160386,0.8272058823529411,1.0,1.9375,1.6341911764705883
3.0,6,all,800,0.06261270221430382,0.14444932861328125,0.9475,0.9975,0.2875,0.195625
3.0,6,xcal_pos,245,0.09674035251918345,0.41722150031887756,0.8775510204081632,0.9959183673469387,0.8857142857142857,0.6387755102040816
3.0,7,all,800,0.02382399033270799,0.23087292480468752,0.94125,0.99,0.73,0.67875
3.0,7,xcal_pos,236,0.07581671911765597,0.7158521749205509,0.8559322033898306,1.0,2.406779661016949,2.3008474576271185
3.0,8,all,800,0.03480813058472554,0.42095162353515625,0.91,0.99375,2.0075,1.824375
3.0,8,xcal_pos,355,0.05305868925843482,0.9071375440140845,0.8309859154929577,0.9971830985915493,4.48169014084507,4.1112676056338024
3.0,9,all,800,0.036408609895616506,0.14811424560546876,0.965,0.99125,0.3725,0.285625
